id,name,sub1,sub2,sub3,sub4,sub5,sub6,total,average,grade,dept
1046,Mia Davis,79,54,98,100,68,62,461,76.83,B,EEE
1047,Mia Williams,68,78,75,86,51,83,441,73.5,B,CSE
1048,Ethan Garcia,93,89,56,72,59,60,429,71.5,B,CSE
1049,Lucas Davis,93,40,59,98,69,63,422,70.33,B,ECE
1050,Noah Johnson,85,74,56,77,77,87,456,76.0,B,ISE
1051,Sophia Smith,63,74,88,99,91,99,514,85.67,A,EEE
1052,Mason Garcia,70,61,90,55,91,97,464,77.33,B,EEE
1053,Ethan Miller,90,88,84,40,86,89,477,79.5,B,CSE
1054,Lucas Garcia,100,98,90,47,94,86,515,85.83,A,ISE
1055,Olivia Jones,49,76,57,100,64,50,396,66.0,C,CSE
1056,Ava Davis,84,42,96,94,88,80,484,80.67,B,EEE
1057,Liam Miller,68,65,67,82,80,73,435,72.5,B,ECE
1058,Ava Smith,87,59,77,97,50,94,464,77.33,B,ECE
1059,Noah Johnson,57,62,93,93,84,52,441,73.5,B,EEE
1060,Mia Jones,91,45,76,72,50,41,375,62.5,C,CSE
1061,Noah Miller,80,50,86,71,45,91,423,70.5,B,ECE
1062,Mason Davis,71,79,94,83,44,62,433,72.17,B,CSE
1063,Mason Davis,90,59,85,46,69,62,411,68.5,C,ECE
1064,Noah Johnson,70,94,90,69,74,56,453,75.5,B,ISE
1065,Olivia Johnson,53,45,78,77,71,99,423,70.5,B,ECE
1066,Mia Garcia,82,69,89,40,91,100,471,78.5,B,ISE
1067,Mason Miller,74,75,60,71,49,98,427,71.17,B,CSE
1068,Mia Williams,42,80,81,84,71,59,417,69.5,C,ISE
1069,Liam Jones,79,45,64,92,49,49,378,63.0,C,ISE
1070,Emma Williams,43,91,45,82,62,81,404,67.33,C,CSE
1071,Ethan Johnson,41,67,92,91,57,97,445,74.17,B,CSE
1072,Mason Miller,47,87,99,75,54,57,419,69.83,C,EEE
1073,Sophia Brown,74,71,65,97,64,67,438,73.0,B,CSE
1074,Olivia Smith,44,87,72,84,69,95,451,75.17,B,ECE
1075,Liam Brown,79,55,90,58,82,67,431,71.83,B,ECE
1076,Ethan Williams,73,54,44,98,40,88,397,66.17,C,ISE
1077,Ava Smith,93,72,65,67,89,43,429,71.5,B,CSE
1078,Noah Garcia,78,84,65,72,100,79,478,79.67,B,EEE
1079,Olivia Smith,87,96,54,84,56,84,461,76.83,B,ECE
1080,Emma Miller,71,86,98,95,66,61,477,79.5,B,ISE
1081,Emma Garcia,53,74,87,83,47,80,424,70.67,B,EEE
1082,Ethan Jones,40,77,97,73,76,99,462,77.0,B,CSE
1083,Lucas Davis,54,47,92,70,90,61,414,69.0,C,ISE
1084,Noah Johnson,50,41,62,65,67,44,329,54.83,D,CSE
1085,Sophia Garcia,90,40,91,47,40,47,355,59.17,D,ISE
1086,Sophia Williams,43,77,96,41,99,70,426,71.0,B,ISE
1087,Olivia Brown,44,85,78,50,77,91,425,70.83,B,ECE
1088,Ava Garcia,67,99,44,96,91,65,462,77.0,B,ISE
1089,Olivia Brown,86,92,74,75,96,47,470,78.33,B,CSE
1090,Olivia Johnson,56,93,67,79,71,55,421,70.17,B,CSE
1091,Noah Smith,74,58,53,99,53,83,420,70.0,B,ECE
1092,Ava Miller,62,70,77,41,48,42,340,56.67,D,ISE
1093,Emma Williams,55,64,80,96,64,82,441,73.5,B,ISE
1094,Sophia Johnson,58,83,58,62,80,48,389,64.83,C,CSE
1095,Mia Miller,82,65,67,55,98,89,456,76.0,B,ISE
1096,Liam Garcia,71,64,95,65,45,82,422,70.33,B,CSE
1097,Mason Davis,70,87,56,100,46,99,458,76.33,B,EEE
1098,Sophia Johnson,82,97,46,93,63,76,457,76.17,B,CSE
1099,Liam Johnson,96,45,79,83,44,97,444,74.0,B,EEE
1100,Olivia Miller,52,44,87,68,88,99,438,73.0,B,ISE
1101,Liam Smith,83,69,69,79,57,98,455,75.83,B,ISE
1102,Lucas Miller,52,49,41,44,74,95,355,59.17,D,ISE
1103,Ethan Johnson,94,48,41,90,99,77,449,74.83,B,ISE
1104,Noah Miller,60,45,90,59,78,89,421,70.17,B,EEE
1105,Lucas Jones,77,41,89,60,84,44,395,65.83,C,ISE
1106,Ava Williams,97,41,46,69,90,59,402,67.0,C,EEE
1107,Mason Smith,94,78,68,62,59,40,401,66.83,C,CSE
1108,Mason Jones,42,50,44,96,74,71,377,62.83,C,ISE
1109,Ava Johnson,100,55,84,60,48,90,437,72.83,B,EEE
1110,Mason Garcia,68,89,79,93,74,95,498,83.0,B,EEE
1111,Ethan Williams,81,76,96,50,41,81,425,70.83,B,ECE
1112,Ethan Miller,43,80,40,91,54,83,391,65.17,C,ISE
1113,Emma Miller,65,58,92,46,95,76,432,72.0,B,EEE
1114,Emma Jones,83,66,57,71,66,97,440,73.33,B,CSE
1115,Ava Davis,91,59,78,71,66,44,409,68.17,C,EEE
1116,Olivia Garcia,92,70,100,42,64,95,463,77.17,B,EEE
1117,Ethan Smith,80,69,95,84,45,86,459,76.5,B,EEE
1118,Lucas Williams,97,41,68,66,91,85,448,74.67,B,ISE
1119,Sophia Smith,43,84,83,79,87,75,451,75.17,B,EEE
1120,Lucas Smith,81,43,56,86,61,62,389,64.83,C,CSE
1121,Olivia Johnson,64,80,96,79,67,61,447,74.5,B,ISE
1122,Emma Miller,62,85,85,91,72,45,440,73.33,B,CSE
1123,Sophia Johnson,83,50,52,53,90,80,408,68.0,C,ISE
1124,Liam Brown,47,99,67,91,76,71,451,75.17,B,ISE
1125,Olivia Garcia,95,51,73,73,74,77,443,73.83,B,ECE
1126,Emma Davis,40,59,50,70,65,90,374,62.33,C,EEE
1127,Olivia Smith,56,61,48,74,94,70,403,67.17,C,ECE
1128,Sophia Miller,82,93,51,45,46,99,416,69.33,C,ECE
1129,Ava Williams,82,96,71,89,77,60,475,79.17,B,ECE
1130,Sophia Davis,44,70,76,89,49,47,375,62.5,C,EEE
1131,Lucas Johnson,69,94,55,83,76,53,430,71.67,B,ISE
1132,Noah Williams,81,42,41,88,95,71,418,69.67,C,CSE
1133,Ethan Garcia,65,91,59,43,70,76,404,67.33,C,ISE
1134,Olivia Brown,71,63,70,98,72,58,432,72.0,B,EEE
1135,Ethan Williams,43,70,51,53,70,58,345,57.5,D,ECE
1136,Noah Garcia,99,69,62,89,42,79,440,73.33,B,ECE
1137,Lucas Jones,77,86,47,56,47,53,366,61.0,C,ISE
1138,Mason Williams,43,95,49,83,77,93,440,73.33,B,CSE
1139,Mia Jones,41,76,93,45,97,42,394,65.67,C,ECE
1140,Mason Brown,62,83,52,94,76,69,436,72.67,B,ISE
1141,Noah Smith,78,55,56,45,93,99,426,71.0,B,ISE
1142,Ethan Davis,45,95,72,57,67,70,406,67.67,C,ECE
1143,Liam Miller,78,93,47,40,98,100,456,76.0,B,CSE
1144,Mason Johnson,52,83,87,70,84,88,464,77.33,B,EEE
1145,Olivia Jones,40,86,98,76,95,56,451,75.17,B,ISE
1146,Emma Davis,48,98,83,84,54,51,418,69.67,C,CSE
1147,Ava Smith,59,70,100,95,69,77,470,78.33,B,ISE
1148,Lucas Williams,60,49,43,52,57,78,339,56.5,D,EEE
1149,Liam Jones,55,46,85,70,57,88,401,66.83,C,ECE
1150,Liam Williams,91,73,79,48,63,68,422,70.33,B,CSE
1151,Mia Jones,80,90,67,49,50,59,395,65.83,C,ISE
1152,Olivia Smith,40,42,59,75,45,91,352,58.67,D,CSE
1153,Lucas Jones,73,67,99,93,89,68,489,81.5,B,ISE
1154,Sophia Johnson,83,85,63,43,97,100,471,78.5,B,ECE
1155,Noah Davis,49,80,41,74,81,54,379,63.17,C,CSE
1156,Olivia Smith,82,56,80,75,92,45,430,71.67,B,ECE
1157,Mason Smith,72,61,75,55,79,87,429,71.5,B,ISE
1158,Mia Brown,100,71,47,84,42,83,427,71.17,B,CSE
1159,Noah Brown,66,91,83,64,53,45,402,67.0,C,CSE
1160,Emma Smith,99,75,53,54,56,50,387,64.5,C,ISE
1161,Mia Garcia,73,60,43,57,74,72,379,63.17,C,ECE
1162,Lucas Jones,82,49,86,78,81,79,455,75.83,B,ISE
1163,Ava Miller,83,54,54,86,43,68,388,64.67,C,EEE
1164,Sophia Jones,40,68,82,88,57,53,388,64.67,C,CSE
1165,Liam Davis,69,56,77,73,87,47,409,68.17,C,EEE
1166,Noah Smith,43,60,76,44,52,73,348,58.0,D,CSE
1167,Lucas Davis,42,75,77,70,43,59,366,61.0,C,EEE
1168,Sophia Brown,73,80,53,100,64,65,435,72.5,B,CSE
1169,Sophia Garcia,81,76,80,45,67,52,401,66.83,C,EEE
1170,Sophia Brown,41,93,78,56,91,72,431,71.83,B,ECE
1171,Ava Garcia,51,54,83,86,65,68,407,67.83,C,CSE
1172,Ethan Johnson,91,49,42,83,54,65,384,64.0,C,ISE
1173,Olivia Miller,58,61,81,85,71,94,450,75.0,B,ISE
1174,Ava Smith,85,89,63,70,51,47,405,67.5,C,EEE
1175,Noah Davis,87,69,85,86,99,76,502,83.67,B,CSE
1176,Ethan Davis,83,96,54,56,78,50,417,69.5,C,EEE
1177,Emma Miller,73,56,51,88,81,93,442,73.67,B,ECE
1178,Mason Johnson,65,90,90,98,91,100,534,89.0,A,ECE
1179,Ethan Williams,47,80,63,96,57,81,424,70.67,B,ISE
1180,Mia Davis,87,92,83,58,56,94,470,78.33,B,EEE
1181,Liam Jones,90,61,54,82,54,54,395,65.83,C,EEE
1182,Ethan Jones,96,61,94,82,75,51,459,76.5,B,ECE
1183,Mia Miller,96,51,47,44,83,74,395,65.83,C,ECE
1184,Emma Williams,100,99,55,49,62,56,421,70.17,B,ISE
1185,Mia Davis,69,54,63,94,54,58,392,65.33,C,ISE
1186,Mason Davis,80,83,94,71,82,66,476,79.33,B,ISE
1187,Sophia Miller,90,71,47,81,94,62,445,74.17,B,ISE
1188,Emma Brown,85,69,67,60,88,45,414,69.0,C,ISE
1189,Mia Williams,46,43,68,98,99,72,426,71.0,B,CSE
1190,Mia Jones,47,79,61,60,57,93,397,66.17,C,EEE
1191,Olivia Williams,46,74,85,62,98,84,449,74.83,B,ISE
1192,Lucas Davis,89,70,51,77,66,97,450,75.0,B,ECE
1193,Sophia Garcia,62,45,56,74,50,81,368,61.33,C,ISE
1194,Sophia Garcia,70,50,97,81,63,85,446,74.33,B,ISE
1195,Ava Garcia,48,86,79,94,72,95,474,79.0,B,CSE
1196,Emma Davis,51,98,58,74,92,44,417,69.5,C,ISE
1197,Olivia Brown,49,62,86,78,65,56,396,66.0,C,EEE
1198,Lucas Garcia,51,59,84,81,65,96,436,72.67,B,CSE
1199,Ethan Miller,71,96,96,46,57,82,448,74.67,B,ISE
1200,Sophia Johnson,43,43,77,76,53,74,366,61.0,C,ISE
1201,Emma Garcia,64,74,67,49,61,78,393,65.5,C,ISE
1202,Olivia Williams,58,83,52,87,86,94,460,76.67,B,EEE
1203,Liam Brown,48,91,65,70,53,45,372,62.0,C,EEE
1204,Mia Miller,67,91,84,45,50,73,410,68.33,C,ECE
1205,Sophia Johnson,47,73,62,48,43,84,357,59.5,D,ISE
1206,Noah Garcia,64,97,99,95,48,68,471,78.5,B,ECE
1207,Sophia Williams,95,84,54,89,63,83,468,78.0,B,ECE
1208,Ava Smith,68,68,47,96,79,58,416,69.33,C,CSE
1209,Mason Brown,54,71,58,40,57,59,339,56.5,D,ECE
1210,Noah Brown,63,85,88,94,45,84,459,76.5,B,EEE
1211,Lucas Smith,87,90,97,85,61,43,463,77.17,B,ECE
1212,Mia Garcia,53,95,50,82,83,48,411,68.5,C,EEE
1213,Ava Smith,69,98,83,55,90,42,437,72.83,B,ECE
1214,Ava Williams,41,88,87,74,44,63,397,66.17,C,EEE
1215,Mia Miller,45,81,91,91,88,40,436,72.67,B,CSE
1216,Ethan Miller,80,57,42,61,93,50,383,63.83,C,ECE
1217,Noah Garcia,67,96,67,50,43,71,394,65.67,C,CSE
1218,Mia Johnson,77,80,98,100,62,95,512,85.33,A,EEE
1219,Emma Smith,78,84,78,84,68,69,461,76.83,B,ECE
1220,Noah Williams,42,63,92,88,61,66,412,68.67,C,ECE
1221,Sophia Williams,77,69,68,96,75,96,481,80.17,B,EEE
1222,Noah Garcia,46,64,86,72,57,93,418,69.67,C,EEE
1223,Liam Williams,81,77,93,77,81,79,488,81.33,B,ECE
1224,Noah Davis,84,54,68,75,49,91,421,70.17,B,CSE
1225,Sophia Smith,77,65,42,75,83,83,425,70.83,B,EEE
1226,Olivia Williams,48,53,94,46,69,50,360,60.0,C,ECE
1227,Olivia Miller,52,94,69,43,45,73,376,62.67,C,ISE
1228,Mia Brown,82,93,96,100,95,80,546,91.0,A,ECE
1229,Lucas Williams,100,59,98,92,94,64,507,84.5,B,CSE
1230,Mia Davis,65,59,70,66,85,89,434,72.33,B,CSE
1231,Ethan Smith,85,93,52,67,59,80,436,72.67,B,EEE
1232,Liam Davis,73,60,53,68,68,63,385,64.17,C,ECE
1233,Olivia Jones,75,49,75,60,79,64,402,67.0,C,ISE
1234,Noah Jones,53,55,90,73,63,70,404,67.33,C,ISE
1235,Sophia Brown,47,98,91,86,92,44,458,76.33,B,EEE
1236,Olivia Garcia,50,49,58,91,93,69,410,68.33,C,ISE
1237,Liam Jones,95,91,60,96,55,83,480,80.0,B,ISE
1238,Sophia Davis,43,52,93,41,48,69,346,57.67,D,EEE
1239,Mia Williams,99,85,63,100,69,98,514,85.67,A,ISE
1240,Noah Johnson,70,54,100,44,96,87,451,75.17,B,CSE
1241,Lucas Miller,79,91,89,90,83,82,514,85.67,A,ECE
1242,Sophia Williams,45,47,97,83,49,43,364,60.67,C,EEE
1243,Liam Smith,80,79,88,40,66,78,431,71.83,B,CSE
1244,Liam Johnson,42,78,98,47,55,82,402,67.0,C,ECE
1245,Liam Williams,49,54,95,46,62,91,397,66.17,C,ECE
1246,Mason Johnson,43,63,41,68,44,56,315,52.5,D,EEE
1247,Mia Garcia,70,63,94,56,58,57,398,66.33,C,EEE
1248,Ethan Garcia,94,93,95,72,60,83,497,82.83,B,ECE
1249,Lucas Brown,63,73,56,54,71,56,373,62.17,C,ECE
1250,Ava Johnson,85,41,43,95,98,57,419,69.83,C,EEE
1251,Lucas Jones,71,55,64,81,96,42,409,68.17,C,ISE
1252,Ethan Williams,82,78,77,90,52,56,435,72.5,B,EEE
1253,Emma Johnson,76,95,81,84,73,68,477,79.5,B,CSE
1254,Lucas Brown,75,70,81,46,50,78,400,66.67,C,ISE
1255,Lucas Smith,48,81,68,90,79,75,441,73.5,B,ECE
1256,Lucas Smith,43,93,98,97,75,87,493,82.17,B,ECE
1257,Noah Garcia,40,53,50,49,85,89,366,61.0,C,EEE
1258,Olivia Garcia,95,93,77,93,86,86,530,88.33,A,CSE
1259,Ava Miller,81,84,87,72,87,76,487,81.17,B,CSE
1260,Olivia Brown,81,100,45,58,48,72,404,67.33,C,CSE
1261,Sophia Williams,77,81,61,73,40,74,406,67.67,C,ISE
1262,Mason Jones,53,45,71,59,60,61,349,58.17,D,ISE
1263,Olivia Williams,47,40,75,46,68,68,344,57.33,D,CSE
1264,Sophia Johnson,40,88,60,80,46,45,359,59.83,D,CSE
1265,Emma Brown,69,72,92,91,97,63,484,80.67,B,CSE
1266,Emma Williams,57,72,83,51,52,91,406,67.67,C,ISE
1267,Sophia Williams,50,67,60,55,96,98,426,71.0,B,CSE
1268,Lucas Williams,92,89,44,93,82,46,446,74.33,B,ECE
1269,Ava Miller,57,42,98,52,60,60,369,61.5,C,CSE
1270,Emma Jones,93,97,95,85,62,75,507,84.5,B,ISE
1271,Olivia Davis,49,55,89,55,41,75,364,60.67,C,EEE
1272,Ethan Garcia,92,98,44,52,69,40,395,65.83,C,EEE
1273,Ethan Miller,87,77,77,88,58,98,485,80.83,B,ISE
1274,Mia Davis,79,94,46,76,77,98,470,78.33,B,ISE
1275,Sophia Brown,45,64,87,50,55,62,363,60.5,C,CSE
1276,Mason Brown,70,56,42,75,47,62,352,58.67,D,ISE
1277,Mason Smith,47,83,55,92,45,72,394,65.67,C,CSE
1278,Lucas Smith,73,62,71,76,46,67,395,65.83,C,ISE
1279,Mia Brown,92,82,51,92,71,60,448,74.67,B,EEE
1280,Noah Miller,80,88,63,50,80,46,407,67.83,C,ECE
1281,Sophia Williams,54,54,41,90,81,97,417,69.5,C,EEE
1282,Noah Williams,89,81,99,42,62,78,451,75.17,B,ISE
1283,Ethan Garcia,90,79,84,80,79,70,482,80.33,B,EEE
1284,Olivia Davis,53,76,80,52,69,64,394,65.67,C,EEE
1285,Mia Smith,53,44,46,75,92,57,367,61.17,C,ECE
1286,Olivia Garcia,60,59,95,70,80,62,426,71.0,B,ECE
1287,Mason Miller,88,82,76,96,85,49,476,79.33,B,ECE
1288,Noah Garcia,92,40,95,73,92,89,481,80.17,B,ISE
1289,Mason Jones,72,47,54,91,76,72,412,68.67,C,ISE
1290,Liam Garcia,72,91,85,58,46,82,434,72.33,B,CSE
1291,Mia Brown,55,53,50,90,71,98,417,69.5,C,ISE
1292,Noah Brown,65,42,41,88,90,77,403,67.17,C,EEE
1293,Mia Garcia,100,88,84,75,82,84,513,85.5,A,CSE
1294,Lucas Brown,95,72,70,87,45,80,449,74.83,B,ECE
1295,Mia Davis,43,79,47,66,98,100,433,72.17,B,ISE
1296,Liam Davis,83,87,59,44,75,61,409,68.17,C,CSE
1297,Emma Smith,94,64,48,89,62,99,456,76.0,B,EEE
1298,Liam Miller,68,79,88,91,75,91,492,82.0,B,CSE
1299,Mia Miller,65,61,48,53,59,76,362,60.33,C,ECE
1300,Mia Smith,74,46,50,100,88,49,407,67.83,C,ISE
1301,Noah Jones,46,61,41,72,94,93,407,67.83,C,ECE
1302,Liam Jones,63,44,71,49,59,56,342,57.0,D,EEE
1303,Emma Brown,78,90,90,78,61,85,482,80.33,B,CSE
1304,Mason Davis,45,68,46,42,93,86,380,63.33,C,ECE
1305,Ava Johnson,76,77,80,76,63,69,441,73.5,B,ECE
1306,Ava Garcia,95,73,53,91,45,79,436,72.67,B,CSE
1307,Emma Johnson,92,59,65,51,90,64,421,70.17,B,EEE
1308,Sophia Garcia,54,81,60,97,42,71,405,67.5,C,ISE
1309,Sophia Smith,46,63,92,60,81,86,428,71.33,B,EEE
1310,Olivia Johnson,91,48,60,55,61,73,388,64.67,C,CSE
1311,Lucas Jones,81,99,98,49,92,78,497,82.83,B,CSE
1312,Ethan Smith,81,71,55,94,68,86,455,75.83,B,CSE
1313,Ethan Miller,96,68,73,56,51,93,437,72.83,B,EEE
1314,Liam Garcia,65,97,43,54,79,73,411,68.5,C,ECE
1315,Liam Williams,100,76,90,88,93,98,545,90.83,A,ISE
1316,Sophia Jones,52,46,82,47,84,96,407,67.83,C,EEE
1317,Mia Davis,57,89,43,47,81,55,372,62.0,C,ISE
1318,Ethan Miller,43,98,74,94,90,98,497,82.83,B,EEE
1319,Ava Jones,84,88,69,89,88,65,483,80.5,B,ISE
1320,Lucas Smith,91,49,46,88,68,67,409,68.17,C,CSE
1321,Noah Jones,94,53,44,68,57,96,412,68.67,C,ECE
1322,Ethan Garcia,85,92,79,60,98,61,475,79.17,B,CSE
1323,Noah Smith,70,64,49,84,96,59,422,70.33,B,EEE
1324,Sophia Williams,92,53,80,70,68,63,426,71.0,B,ISE
1325,Mason Davis,79,49,88,53,93,86,448,74.67,B,CSE
1326,Lucas Davis,63,94,80,96,40,58,431,71.83,B,CSE
1327,Emma Williams,43,55,78,100,65,45,386,64.33,C,ISE
1328,Lucas Davis,61,89,99,86,40,61,436,72.67,B,CSE
1329,Liam Smith,64,69,87,82,52,40,394,65.67,C,EEE
1330,Sophia Brown,100,47,67,82,50,79,425,70.83,B,ECE
1331,Ethan Garcia,70,92,46,93,86,96,483,80.5,B,ECE
1332,Liam Jones,70,54,85,46,82,47,384,64.0,C,ECE
1333,Olivia Miller,41,78,85,50,45,68,367,61.17,C,EEE
1334,Mia Williams,49,55,99,61,95,81,440,73.33,B,EEE
1335,Noah Brown,83,98,69,67,54,82,453,75.5,B,ISE
1336,Olivia Johnson,47,100,81,72,89,63,452,75.33,B,EEE
1337,Olivia Johnson,48,41,73,43,68,60,333,55.5,D,ECE
1338,Liam Johnson,48,94,88,96,100,66,492,82.0,B,EEE
1339,Ethan Jones,57,56,52,95,98,54,412,68.67,C,ISE
1340,Noah Miller,98,92,53,93,77,75,488,81.33,B,ISE
1341,Lucas Johnson,62,70,56,42,55,42,327,54.5,D,ECE
1342,Noah Davis,94,70,67,80,83,84,478,79.67,B,CSE
1343,Sophia Davis,61,76,92,96,68,86,479,79.83,B,ISE
1344,Mason Jones,71,85,85,53,61,74,429,71.5,B,EEE
1345,Mason Garcia,84,96,93,80,99,54,506,84.33,B,CSE
1346,Liam Johnson,46,61,73,43,67,82,372,62.0,C,ISE
1347,Emma Johnson,66,60,47,67,43,75,358,59.67,D,ISE
1348,Ethan Miller,62,47,64,65,74,77,389,64.83,C,EEE
1349,Emma Davis,79,55,97,92,78,80,481,80.17,B,ISE
1350,Ava Williams,82,65,51,46,44,67,355,59.17,D,CSE
1351,Noah Smith,55,47,54,89,81,52,378,63.0,C,ISE
1352,Ava Brown,59,61,92,60,51,86,409,68.17,C,ECE
1353,Mason Johnson,92,62,41,98,77,99,469,78.17,B,ISE
1354,Liam Brown,72,62,43,53,80,53,363,60.5,C,ECE
1355,Ava Miller,81,72,79,70,79,84,465,77.5,B,ISE
1356,Mason Johnson,64,43,76,54,47,45,329,54.83,D,ISE
1357,Noah Garcia,44,95,72,55,57,66,389,64.83,C,ISE
1358,Mason Jones,93,86,100,51,56,47,433,72.17,B,ECE
1359,Mia Williams,49,66,42,42,63,84,346,57.67,D,EEE
1360,Mia Smith,77,73,75,56,87,97,465,77.5,B,ISE
1361,Ethan Johnson,73,92,49,52,81,87,434,72.33,B,ISE
1362,Mia Miller,98,52,63,45,73,40,371,61.83,C,CSE
1363,Sophia Jones,58,85,45,76,43,60,367,61.17,C,ECE
1364,Olivia Johnson,86,48,97,41,73,48,393,65.5,C,ECE
1365,Ava Miller,78,91,47,94,90,41,441,73.5,B,EEE
1366,Olivia Johnson,46,97,98,66,87,86,480,80.0,B,ECE
1367,Olivia Miller,65,100,91,79,42,85,462,77.0,B,EEE
1368,Lucas Davis,78,91,75,65,81,79,469,78.17,B,ECE
1369,Ethan Brown,71,40,67,42,100,79,399,66.5,C,EEE
1370,Liam Brown,78,48,44,53,97,87,407,67.83,C,EEE
1371,Sophia Williams,71,82,46,55,66,42,362,60.33,C,EEE
1372,Mia Williams,49,44,90,52,85,81,401,66.83,C,CSE
1373,Ethan Smith,52,53,51,88,56,49,349,58.17,D,ECE
1374,Ava Williams,88,56,57,41,94,65,401,66.83,C,EEE
1375,Ethan Davis,44,70,94,100,71,68,447,74.5,B,ECE
1376,Ethan Smith,70,53,85,44,79,58,389,64.83,C,ISE
1377,Ava Jones,42,99,84,62,68,90,445,74.17,B,EEE
1378,Emma Johnson,81,95,99,94,54,100,523,87.17,A,ECE
1379,Ethan Williams,56,98,96,75,87,54,466,77.67,B,CSE
1380,Ethan Garcia,64,61,64,84,61,77,411,68.5,C,ECE
1381,Noah Miller,62,99,41,59,75,40,376,62.67,C,ISE
1382,Liam Davis,40,75,73,84,81,48,401,66.83,C,EEE
1383,Emma Miller,58,56,55,62,84,42,357,59.5,D,ISE
1384,Ava Smith,40,59,96,73,43,44,355,59.17,D,ECE
1385,Sophia Miller,46,53,46,97,73,86,401,66.83,C,ISE
1386,Mason Jones,70,57,46,52,42,76,343,57.17,D,CSE
1387,Ava Garcia,69,51,79,51,66,100,416,69.33,C,CSE
1388,Emma Johnson,96,85,91,69,69,45,455,75.83,B,CSE
1389,Ava Garcia,67,94,69,56,47,49,382,63.67,C,EEE
1390,Olivia Jones,55,99,71,77,89,49,440,73.33,B,ISE
1391,Lucas Davis,84,54,48,68,91,40,385,64.17,C,EEE
1392,Ethan Johnson,92,100,71,42,99,60,464,77.33,B,ISE
1393,Mason Miller,50,60,43,79,41,45,318,53.0,D,ISE
1394,Olivia Brown,46,82,85,53,90,50,406,67.67,C,ECE
1395,Lucas Jones,65,90,46,92,56,55,404,67.33,C,ISE
1396,Ava Miller,77,93,79,88,100,55,492,82.0,B,ECE
1397,Mason Johnson,40,48,45,78,44,54,309,51.5,D,CSE
1398,Olivia Williams,58,98,83,48,70,66,423,70.5,B,CSE
1399,Lucas Davis,48,73,84,61,62,50,378,63.0,C,ECE
1400,Mia Johnson,77,91,98,99,57,69,491,81.83,B,CSE
1401,Lucas Williams,98,83,53,59,87,77,457,76.17,B,EEE
